Gene	Birch #	Qn	N insertions	Species
THOC7	2	4.44	24	Spizella_passerina, Vulpes_lagopus, Donacobius_atricapilla, Prunella_fulvescens, Rynchops_niger, Furnarius_figulus, Indicator_maculatus, Calyptomena_viridis, Acrocephalus_arundinaceus, Calcarius_ornatus, Atrichornis_clamosus, Tyrannus_savana, Sclerurus_mexicanus, Lerista_edwardsae, Ploceus_nigricollis, Todus_mexicanus, Ceuthmochares_aereus, Oxyruncus_cristatus, Bucco_capensis, Piprites_chloris, Centropus_bengalensis, Ranitomeya_imitator, Pardalotus_punctatus, Hippolais_icterina
SUPT7L	1	4.44	38	Periophthalmus_magnuspinnatus, Labrus_bergylta, Etheostoma_spectabile, Anarrhichthys_ocellatus, Pseudochaenichthys_georgianus, Toxotes_jaculatrix, Coryphaenoides_rupestris, Gekko_japonicus, Anoplopoma_fimbria, Xiphias_gladius, Oryzias_javanicus, Monopterus_albus, Larimichthys_crocea, Scophthalmus_maximus, Tropheus_moorii, Mastacembelus_armatus, Pseudoliparis_sp._Yap_Trench, Neolamprologus_brichardi, Syngnathus_scovelli, Corythoichthys_intestinalis, Gadus_chalcogrammus, Lampris_incognitus, Hippocampus_zosterae, Polyodon_spathula, Hippocampus_comes, Betta_splendens, Cyprinodon_tularosa, Merluccius_polli, Thamnaconus_septentrionalis, Muraenolepis_orangiensis, Doryrhamphus_excisus, Pungitius_pungitius, Fundulus_heteroclitus, Dissostichus_mawsoni, Gasterosteus_aculeatus_aculeatus, Cyprinodon_variegatus, Liparis_tanakae, Syngnathus_acus
SNURF	1	4.44	10	Sigmodon_hispidus, Camelus_ferus, Sturnira_hondurensis, Desmodus_rotundus, Meriones_unguiculatus, Glossophaga_mutica, Peromyscus_maniculatus_bairdii, Phyllostomus_hastatus, Sigmodon_hispidus, Phyllotis_vaccarum
NKX3-2	1	4.44	13	Colossoma_macropomum, Ictalurus_furcatus, Silurus_asotus, Hemibagrus_wyckioides, Rhinatrema_bivittatum, Pygocentrus_nattereri, Clarias_gariepinus, Geotrypetes_seraphini, Prochilodus_magdalenae, Coryphaenoides_rupestris, Protopterus_annectens, Astyanax_mexicanus, Astyanax_mexicanus
NAA35	1	4.44	13	Danionella_translucida, Gasterosteus_aculeatus, Thunnus_orientalis, Callorhinchus_milii, Chlorocebus_sabaeus, Cottoperca_gobio, Amphiprion_percula, Trichechus_manatus_latirostris, Pseudoliparis_sp._Yap_Trench, Scleropages_formosus, Megalops_cyprinoides, Cyprinus_carpio_carpio, Channa_argus
HYI	1	4.44	10	Simochromis_diagramma, Scleropages_formosus, Paramormyrops_kingsleyae, Microtus_ochrogaster, Neolamprologus_brichardi, Poeciliopsis_prolifica, Dicerorhinus_sumatrensis_harrissoni, Cercopithecus_mona, Callithrix_jacchus, Urocynchramus_pylzowi
GULP1	1	4.44	22	Mus_minutoides, Beaufortia_kweichowensis, Marmota_marmota_marmota, Manis_pentadactyla, Bos_mutus, Rousettus_aegyptiacus, Sorex_araneus, Myotis_brandtii, Prochilodus_magdalenae, Pteropus_medius, Poecilia_reticulata, Vombatus_ursinus, Pantherophis_guttatus, Cavia_porcellus, Myotis_davidii, Salvelinus_namaycush, Tupaia_chinensis, Strix_occidentalis_caurina, Antechinus_flavipes, Melopsittacus_undulatus, Manis_javanica, Peromyscus_maniculatus_bairdii
MDH2	1	4.44	18	Cettia_cetti, Rhynochetos_jubatus, Pheucticus_melanocephalus, Otocolobus_manul, Erpornis_zantholeuca, Puma_yagouaroundi, Oreocharis_arfaki, Geococcyx_californianus, Melospiza_melodia_maxima, Columbina_picui, Pedionomus_torquatus, Tachuris_rubrigastra, Eolophus_roseicapilla, Casuarius_casuarius, Odontophorus_gujanensis, Brachypteracias_leptosomus, Chloebia_gouldiae, Lipotes_vexillifer
FAM53A	1	4.44	14	Monodon_monoceros, Phocoena_sinus, Phacochoerus_africanus, Mesoplodon_densirostris, Rupicapra_rupicapra, Delphinapterus_leucas, Vicugna_vicugna_mensalis, Hippopotamus_amphibius, Sus_scrofa, Bison_bonasus, Balaenoptera_acutorostrata, Muntiacus_muntjak, Chrysochloris_asiatica, Alces_alces
FOSL2	1	4.44	25	Ammospiza_nelsoni, Triplophysa_tibetana, Cyprinus_carpio_carpio, Carcharodon_carcharias, Thalassophryne_amazonica, Squalus_suckleyi, Beaufortia_kweichowensis, Ctenopharyngodon_idella, Alosa_alosa, Channa_argus, Stegostoma_tigrinum, Betta_splendens, Rana_temporaria, Ailuropoda_melanoleuca, Scyliorhinus_canicula, Anableps_anableps, Anguilla_anguilla, Nibea_albiflora, Hypomesus_transpacificus, Rhincodon_typus, Leucoraja_erinaceus, Ameiurus_melas, Pristis_pectinata, Pholis_gunnellus, Menidia_menidia
CCDC116	1	4.44	11	Ahaetulla_prasina, Podarcis_lilfordi, Pogona_vitticeps, Phrynosoma_platyrhinos, Hemicordylus_capensis, Phrynocephalus_forsythii, Python_bivittatus, Sceloporus_undulatus, Anolis_carolinensis, Crotalus_tigris, Lerista_edwardsae
MED22	1	4.36	9	Geomys_bursarius, Chiloscyllium_plagiosum, Pipistrellus_kuhlii, Geotrypetes_seraphini, Jaculus_jaculus, Rattus_rattus, Mus_musculus, Microtus_oregoni, Passer_montanus
CARMIL2	1	4.28	7	Moschus_berezovskii, Mus_musculus, Bos_indicus_x_Bos_taurus, Tursiops_truncatus, Galemys_pyrenaicus, Sciurus_carolinensis, Rousettus_aegyptiacus
MSH5	1	4.28	7	Myodes_glareolus, Halichoerus_grypus, Mirounga_angustirostris, Dicentrarchus_labrax, Alexandromys_fortis, Myripristis_murdjan, Sphaeramia_orbicularis
COMMD7	1	4.28	7	Buceros_rhinoceros_silvestris, Callipepla_squamata, Galemys_pyrenaicus, Macaca_thibetana_thibetana, Microcebus_murinus, Macaca_mulatta, Nothocercus_julius
ADCK5	1	4.28	6	Cervus_canadensis, Phocoena_sinus, Neofelis_nebulosa, Prochilodus_magdalenae, Physeter_macrocephalus, Tursiops_truncatus
MED21	1	4.01	8	Panthera_pardus, Limosa_lapponica_baueri, Balaenoptera_physalus, Lates_calcarifer, Oreochromis_niloticus, Electrophorus_electricus, Thunnus_orientalis, Agelaius_phoeniceus
SLC16A11	1	3.49	9	Megaptera_novaeangliae, Phyllostomus_hastatus, Lasiurus_cinereus, Inia_geoffrensis, Mops_condylurus, Dugong_dugon, Bos_taurus, Galemys_pyrenaicus, Suncus_etruscus
COL20A1	1	3.38	5	Psammomys_obesus, Dugong_dugon, Steno_bredanensis, Neodon_shergylaensis, Ovibos_moschatus
SERPINE2	1	3.34	8	Cricetulus_griseus, Chrysochloris_asiatica, Malurus_cyaneus_samueli, Piliocolobus_tephrosceles, Indicator_indicator, Phrynosoma_platyrhinos, Colobus_guereza, Chlorocebus_sabaeus
TSPYL2	1	2.68	8	Vespertilio_murinus, Myotis_davidii, Myotis_brandtii, Plecotus_auritus, Rhizomys_pruinosus, Cnephaeus_nilssonii, Nyctalus_leisleri, Pipistrellus_kuhlii
PCNX3	2	2.68	8	Dipodomys_ordii, Alexandromys_fortis, Phodopus_roborovskii, Rhinoceros_unicornis, Perognathus_longimembris_pacificus, Myodes_glareolus, Ailuropoda_melanoleuca, Microtus_oregoni
LMNTD2	1	2.68	8	Felis_catus, Hoolock_leuconedys, Camelus_dromedarius, Perognathus_longimembris_pacificus, Camelus_ferus, Vulpes_vulpes, Pongo_pygmaeus, Camelus_bactrianus
ACTR8	1	2.62	9	Rhynochetos_jubatus, Megalops_cyprinoides, Triplophysa_tibetana, Scleropages_formosus, Grampus_griseus, Carassius_auratus_red_var., Labeo_catla, Tursiops_truncatus, Xenopus_tropicalis
FZR1	1	2.62	9	Clarias_gariepinus, Odocoileus_hemionus_hemionus, Ovis_ammon_polii, Lipotes_vexillifer, Rhincodon_typus, Scortum_barcoo, Heterocephalus_glaber, Gymnodraco_acuticeps, Delphinapterus_leucas
HOMER3	1	2.62	9	Plectropomus_leopardus, Clarias_gariepinus, Cervus_elaphus_hippelaphus, Electrophorus_electricus, Macaca_thibetana_thibetana, Cheilinus_undulatus, Fundulus_heteroclitus, Lophiomys_imhausi, Thalassophryne_amazonica
BBS7	1	2.57	7	Hypomesus_transpacificus, Syngnathus_acus, Corynorhinus_townsendii, Synchiropus_splendidus, Ia_io, Dunckerocampus_dactyliophorus, Gopherus_evgoodei
FDXR	2	2.57	7	Pteropus_vampyrus, Rhinopithecus_bieti, Vulpes_vulpes, Arvicanthis_niloticus, Pimephales_promelas, Nomascus_leucogenys, Urocyon_cinereoargenteus
HEATR9	1	2.57	7	Trichosurus_vulpecula, Pelodiscus_sinensis, Chelydra_serpentina, Chrysemys_picta_bellii, Chelonoidis_abingdonii, Muscardinus_avellanarius, Bradypus_torquatus
CWF19L1	1	2.53	5	Stenella_coeruleoalba, Chloropsis_cyanopogon, Glossophaga_mutica, Tetraodon_nigroviridis, Inia_geoffrensis
GPS1	1	2.44	6	Hippoglossus_stenolepis, Oryzias_latipes, Perca_flavescens, Paralichthys_olivaceus, Larimichthys_crocea, Syngnathus_acus
MFSD13A	1	2.22	13	Oryctolagus_cuniculus, Tursiops_truncatus, Galemys_pyrenaicus, Mustela_erminea, Eschrichtius_robustus, Callorhinus_ursinus, Rhinopithecus_bieti, Galeopterus_variegatus, Hippopotamus_amphibius_kiboko, Mauremys_mutica, Physeter_macrocephalus, Sagmatias_obliquidens, Mauremys_reevesii
KCNT2	1	2.22	24	Polioptila_caerulea, Aramus_guarauna, Sinosuthora_webbiana, Urocolius_indicus, Setophaga_kirtlandii, Limosa_lapponica_baueri, Upupa_epops, Chloebia_gouldiae, Nothocercus_julius, Bucco_capensis, Machaerirhynchus_nigripectus, Hippolais_icterina, Anthoscopus_minutus, Anseranas_semipalmata, Colinus_virginianus, Dasyornis_broadbenti, Callipepla_squamata, Heliornis_fulica, Ptilonorhynchus_violaceus, Psophia_crepitans, Chloroceryle_aenea, Myiagra_hebetior, Melospiza_melodia_maxima, Alectura_lathami
FBXO9	1	2.22	70	Vespertilio_murinus, Dicerorhinus_sumatrensis_harrissoni, Halichoerus_grypus, Trachypithecus_francoisi, Ctenodactylus_gundi, Phataginus_tricuspis, Tamias_sibiricus, Elaphurus_davidianus, Pygathrix_nigripes, Hylobates_moloch, Microcaecilia_unicolor, Neofelis_nebulosa, Leopardus_geoffroyi, Nyctalus_leisleri, Leontopithecus_rosalia, Chlorocebus_sabaeus, Orcinus_orca, Lutra_lutra, Hoolock_leuconedys, Cephalopachus_bancanus, Geomys_bursarius, Antechinus_stuartii, Prionailurus_bengalensis, Gorilla_gorilla_gorilla, Tapirus_indicus, Glaucomys_volans, Odobenus_rosmarus_divergens, Hyaena_hyaena, Otocyon_megalotis_megalotis, Stenella_coeruleoalba, Sagmatias_obliquidens, Eumetopias_jubatus, Lepus_europaeus, Cercocebus_atys, Eira_barbara, Mandrillus_sphinx, Galemys_pyrenaicus, Urocyon_cinereoargenteus, Thomomys_bottae, Neomonachus_schauinslandi, Doryrhina_cyclops, Cryptoprocta_ferox, Acomys_dimidiatus, Rhinopoma_microphyllum, Acinonyx_jubatus, Rattus_norvegicus, Lasiurus_cinereus, Sylvilagus_floridanus, Paguma_larvata, Podarcis_raffonei, Bradypus_torquatus, Vulpes_ferrilata, Muscardinus_avellanarius, Prolemur_simus, Rhynchomys_soricoides, Procavia_capensis, Chrysochloris_asiatica, Eulemur_rufifrons, Thryonomys_swinderianus, Tadarida_brasiliensis, Ia_io, Mops_condylurus, Erythrocebus_patas, Proteles_cristata_cristata, Hystrix_brachyura, Megaptera_novaeangliae, Elephas_maximus, Erethizon_dorsatum, Dugong_dugon, Moschus_moschiferus
ACP7	1	2.22	14	Capra_hircus, Hydropotes_inermis, Rucervus_eldii_siamensis, Eschrichtius_robustus, Elaphurus_davidianus, Phocoena_phocoena, Dama_dama, Rangifer_tarandus_platyrhynchus, Kobus_leche_leche, Damaliscus_lunatus, Cyprinus_carpio_carpio, Alces_alces, Bos_taurus_x_Bison_bison, Hoolock_leuconedys
ADGRF1	2	2.22	15	Prochilodus_magdalenae, Cyprinus_carpio, Anabarilius_grahami, Xyrauchen_texanus, Ctenopharyngodon_idella, Carassius_auratus, Scyliorhinus_torazame, Pangasianodon_hypophthalmus, Misgurnus_anguillicaudatus, Myxocyprinus_asiaticus, Chanos_chanos, Prochilodus_magdalenae, Mugil_cephalus, Chanos_chanos, Tachysurus_fulvidraco
CDK10	1	2.22	29	Hirundo_rustica, Scortum_barcoo, Salmo_salar, Crotophaga_sulcirostris, Danionella_translucida, Nothoprocta_ornata, Pyrgilauda_ruficollis, Malurus_melanocephalus, Cochlearius_cochlearius, Loxodonta_africana, Steatornis_caripensis, Pterocles_burchelli, Trogon_melanurus, Molothrus_ater, Malurus_elegans, Strigops_habroptila, Doryrhina_cyclops, Apteryx_rowi, Galemys_pyrenaicus, Corythaixoides_concolor, Todus_mexicanus, Catharus_ustulatus, Dromaius_novaehollandiae, Parus_major, Chionis_minor, Pluvianellus_socialis, Tetraodon_nigroviridis, Casuarius_casuarius, Catharus_ustulatus
PPP1R3F	1	2.22	24	Protobothrops_mucrosquamatus, Antechinus_flavipes, Mauremys_reevesii, Chrysemys_picta_bellii, Gracilinanus_agilis, Podarcis_muralis, Platysternon_megacephalum, Gopherus_evgoodei, Chelydra_serpentina, Pleurodeles_waltl, Euleptes_europaea, Caretta_caretta, Sceloporus_undulatus, Sphaerodactylus_townsendi, Zootoca_vivipara, Pogona_vitticeps, Chelonoidis_abingdonii, Anolis_carolinensis, Podarcis_raffonei, Pristis_pectinata, Crotalus_tigris, Tachyglossus_aculeatus, Ornithorhynchus_anatinus, Monodelphis_domestica
TYMP	1	2.22	22	Formicarius_rufipectus, Monodon_monoceros, Aselliscus_stoliczkanus, Rhinolophus_ferrumequinum, Smithornis_capensis, Corythaeola_cristata, Falco_tinnunculus, Prunella_himalayana, Galemys_pyrenaicus, Dicentrarchus_labrax, Promerops_cafer, Panurus_biarmicus, Corythaixoides_concolor, Callaeas_wilsoni, Loxia_curvirostra, Oenanthe_melanoleuca, Brachypteracias_leptosomus, Nycticebus_bengalensis, Choloepus_didactylus, Donacobius_atricapilla, Buphagus_erythrorhynchus, Corvus_hawaiiensis
ZNF699	1	2.22	12	Choloepus_didactylus, Rhynchonycteris_naso, Rhynchonycteris_naso, Rhynchonycteris_naso, Bradypus_torquatus, Hoolock_leuconedys, Rhynchonycteris_naso, Rhynchonycteris_naso, Rhynchonycteris_naso, Saccopteryx_bilineata, Fukomys_damarensis, Saccopteryx_bilineata
ZNF57	1	2.22	12	Choloepus_didactylus, Rhynchonycteris_naso, Rhynchonycteris_naso, Rhynchonycteris_naso, Bradypus_torquatus, Hoolock_leuconedys, Rhynchonycteris_naso, Rhynchonycteris_naso, Rhynchonycteris_naso, Saccopteryx_bilineata, Fukomys_damarensis, Saccopteryx_bilineata
TFE3	1	2.22	15	Bubalus_bubalis, Ceratotherium_simum_cottoni, Diceros_bicornis_minor, Neophocaena_asiaeorientalis_asiaeorientalis, Cervus_hanglu_yarkandensis, Cricetulus_griseus, Physeter_macrocephalus, Capra_hircus, Balaenoptera_musculus, Sarcophilus_harrisii, Moschus_berezovskii, Odocoileus_hemionus_hemionus, Balaenoptera_acutorostrata, Petromyzon_marinus, Dromiciops_gliroides
ZNF555	1	2.22	12	Choloepus_didactylus, Rhynchonycteris_naso, Rhynchonycteris_naso, Rhynchonycteris_naso, Bradypus_torquatus, Hoolock_leuconedys, Rhynchonycteris_naso, Rhynchonycteris_naso, Rhynchonycteris_naso, Saccopteryx_bilineata, Fukomys_damarensis, Saccopteryx_bilineata
U2AF2	1	2.22	15	Trachemys_scripta_elegans, Oncorhynchus_nerka, Cyprinus_carpio_carpio, Xyrauchen_texanus, Carassius_carassius, Aldrovandia_affinis, Galemys_pyrenaicus, Sinocyclocheilus_rhinocerous, Coregonus_clupeaformis, Synaphobranchus_kaupii, Hipposideros_armiger, Lepisosteus_oculatus, Choloepus_didactylus, Onychostoma_macrolepis, Chrysemys_picta
ZNF428	1	2.22	21	Stenella_coeruleoalba, Lepus_europaeus, Galemys_pyrenaicus, Syncerus_caffer, Odobenus_rosmarus_divergens, Apodemus_sylvaticus, Hyperoodon_ampullatus, Neogale_vison, Ochotona_princeps, Zalophus_californianus, Sylvilagus_floridanus, Phocoena_sinus, Echinops_telfairi, Solenodon_paradoxus, Miniopterus_natalensis, Carlito_syrichta, Ochotona_curzoniae, Sousa_chinensis, Orcinus_orca, Inia_geoffrensis, Mesoplodon_densirostris
FKRP	1	2.22	14	Drymodes_brunneopygia, Certhia_familiaris, Malurus_elegans, Haemorhous_mexicanus, Illadopsis_cleaveri, Loxia_leucoptera, Onychostruthus_taczanowskii, Vidua_chalybeata, Hypocryptadius_cinnamomeus, Passer_montanus, Pyrgilauda_ruficollis, Sinosuthora_webbiana, Chloropsis_hardwickii, Horornis_vulcanius
NEUROG1	1	2.22	21	Neomonachus_schauinslandi, Bos_indicus_x_Bos_taurus, Gulo_gulo_luscus, Ursus_maritimus, Ursus_americanus, Sorex_araneus, Ailuropoda_melanoleuca, Aselliscus_stoliczkanus, Vicugna_pacos, Elephas_maximus, Hippopotamus_amphibius_kiboko, Megaderma_spasma, Vulpes_lagopus, Hipposideros_galeritus, Canis_lupus, Callithrix_jacchus, Doryrhina_cyclops, Elephas_maximus_indicus, Hipposideros_armiger, Lama_guanicoe_cacsilensis, Loxodonta_africana
PSMC5	1	2.22	105	Oceanites_oceanicus, Irena_cyanogastra, Helopsaltes_ochotensis, Loxia_leucoptera, Eudyptes_schlegeli, Cinclus_mexicanus, Chaetorhynchus_papuensis, Oreocharis_arfaki, Hypocryptadius_cinnamomeus, Danionella_translucida, Trogon_melanurus, Polioptila_caerulea, Ifrita_kowaldi, Nesospiza_acunhae, Spizaetus_tyrannus, Piaya_cayana, Chloropsis_hardwickii, Geococcyx_californianus, Oxyruncus_cristatus, Campylorhamphus_procurvoides, Corythaixoides_concolor, Bombycilla_garrulus, Cnemophilus_loriae, Pachycephala_philippinensis, Nicator_chloris, Turnix_velox, Lerista_edwardsae, Promerops_cafer, Eudyptula_minor_novaehollandiae, Alectura_lathami, Baryphthengus_martii, Mionectes_macconnelli, Atrichornis_clamosus, Sterrhoptilus_dennistouni, Pitta_sordida, Indicator_maculatus, Sinosuthora_webbiana, Nyctibius_bracteatus, Anseranas_semipalmata, Chaetops_frenatus, Ptilonorhynchus_violaceus, Sagittarius_serpentarius, Aphelocoma_coerulescens, Furnarius_figulus, Serilophus_lunatus, Oenanthe_oenanthe, Quiscalus_mexicanus, Drymodes_brunneopygia, Trogon_melanurus, Lophotis_ruficrista, Spheniscus_demersus, Odontophorus_gujanensis, Illadopsis_cleaveri, Horornis_vulcanius, Thalassarche_chlororhynchos, Origma_solitaria, Grallaria_varia, Calyptomena_viridis, Todus_mexicanus, Sakesphorus_luctuosus, Lanius_ludovicianus, Certhia_familiaris, Ptilorrhoa_leucosticta, Formicarius_rufipectus, Rhipidura_dahli, Eolophus_roseicapilla, Pachyramphus_minor, Tichodroma_muraria, Urocynchramus_pylzowi, Glareola_pratincola, Rhinoptilus_africanus, Pampusana_beccarii, Acrocephalus_arundinaceus, Anabarilius_grahami, Galbula_dea, Alca_torda, Cephalopterus_ornatus, Cercotrichas_coryphoeus, Tyrannus_savana, Leptocoma_aspasia, Ardeotis_kori, Pheucticus_melanocephalus, Bucorvus_abyssinicus, Heliornis_fulica, Megadyptes_antipodes_antipodes, Tachuris_rubrigastra, Dissostichus_mawsoni, Penelope_pileata, Orthonyx_spaldingii, Chauna_torquata, Sapayoa_aenigma, Ceyx_cyanopectus, Nyctibius_grandis, Centropus_bengalensis, Mohoua_ochrocephala, Centropus_unirufus, Sitta_europaea, Pardalotus_punctatus, Falcunculus_frontatus, Thinocorus_orbignyianus, Grantiella_picta, Rostratula_benghalensis, Rynchops_niger, Pitangus_sulphuratus, Ophiophagus_hannah
REEP2	2	2.22	10	Bos_gaurus, Lagopus_muta, Aquila_chrysaetos_chrysaetos, Corvus_kubaryi, Podarcis_raffonei, Tyto_alba, Podarcis_muralis, Tympanuchus_pallidicinctus, Phrynosoma_platyrhinos, Grus_americana
SOSTDC1	2	2.22	18	Corythoichthys_intestinalis, Dicentrarchus_labrax, Pungitius_pungitius, Hippocampus_zosterae, Poecilia_formosa, Thamnaconus_septentrionalis, Astyanax_mexicanus, Hippoglossus_hippoglossus, Petromyzon_marinus, Periophthalmus_magnuspinnatus, Syngnathus_acus, Cheilinus_undulatus, Scophthalmus_maximus, Cynoglossus_semilaevis, Sphaeramia_orbicularis, Dunckerocampus_dactyliophorus, Boleophthalmus_pectinirostris, Monopterus_albus
FANCD2OS	1	2.22	18	Anolis_carolinensis, Euleptes_europaea, Notechis_scutatus, Pogona_vitticeps, Podarcis_muralis, Numida_meleagris, Aix_galericulata, Cygnus_olor, Phasianus_colchicus, Ahaetulla_prasina, Coturnix_japonica, Asarcornis_scutulata, Cygnus_atratus, Calypte_anna, Cairina_moschata, Ahaetulla_prasina, Oxyura_jamaicensis, Pogona_vitticeps
FOXJ3	1	2.22	56	Stegastes_partitus, Lates_calcarifer, Anabas_testudineus, Petromyzon_marinus, Pungitius_pungitius, Liparis_tanakae, Reinhardtius_hippoglossoides, Girardinichthys_multiradiatus, Corythoichthys_intestinalis, Hippocampus_comes, Chaenocephalus_aceratus, Cottoperca_gobio, Echeneis_naucrates, Etheostoma_cragini, Pleuronectes_platessa, Betta_splendens, Takifugu_flavidus, Xiphophorus_hellerii, Hippoglossus_stenolepis, Epinephelus_lanceolatus, Lampris_incognitus, Archocentrus_centrarchus, Periophthalmus_magnuspinnatus, Hypomesus_transpacificus, Dicentrarchus_labrax, Tetraodon_nigroviridis, Oryzias_javanicus, Caranx_melampygus, Myripristis_murdjan, Poecilia_latipinna, Cheilinus_undulatus, Synchiropus_splendidus, Poecilia_formosa, Gadus_morhua, Syngnathus_acus, Harpagifer_antarcticus, Paralichthys_olivaceus, Boleophthalmus_pectinirostris, Plectropomus_leopardus, Dunckerocampus_dactyliophorus, Channa_argus, Poecilia_mexicana, Solea_solea, Epinephelus_fuscoguttatus, Lucifuga_dentata, Doryrhamphus_excisus, Thalassophryne_amazonica, Scophthalmus_maximus, Syngnathus_scovelli, Esox_lucius, Oryzias_latipes, Anarrhichthys_ocellatus, Gouania_willdenowi, Chelmon_rostratus, Poeciliopsis_prolifica, Nothobranchius_furzeri
FXYD3	1	2.22	12	Cavia_tschudii, Macaca_thibetana_thibetana, Mustela_putorius, Ceratotherium_simum_cottoni, Hipposideros_galeritus, Prionailurus_viverrinus, Lyroderma_lyra, Daubentonia_madagascariensis, Vicugna_pacos_huacaya, Canis_lupus, Tragelaphus_strepsiceros, Cheirogaleus_medius
ORC4	1	2.22	10	Elephas_maximus, Atrichornis_clamosus, Corythaixoides_concolor, Jaculus_jaculus, Certhia_familiaris, Menidia_menidia, Bradypus_torquatus, Passerina_amoena, Mionectes_macconnelli, Callaeas_wilsoni
PNMA8C	1	2.22	20	Cercopithecus_mona, Microcebus_murinus, Otolemur_garnettii, Cebus_imitator, Pithecia_pithecia, Saimiri_boliviensis_boliviensis, Papio_anubis, Mandrillus_sphinx, Pygathrix_nigripes, Erythrocebus_patas, Rhinopithecus_roxellana, Dasypus_novemcinctus, Pan_paniscus, Cercocebus_atys, Hylobates_pileatus, Papio_anubis, Gorilla_gorilla_gorilla, Aotus_nancymaae, Loris_tardigradus, Macaca_thibetana_thibetana
NOTCH4	1	2.22	14	Desmodus_rotundus, Chionomys_nivalis, Scaptochirus_moschatus, Phyllostomus_hastatus, Artibeus_jamaicensis, Peromyscus_leucopus, Acomys_russatus, Cavia_tschudii, Rhynchonycteris_naso, Acomys_cahirinus, Reithrodontomys_megalotis_longicaudus, Neodon_shergylaensis, Mesocricetus_auratus, Pteronotus_mesoamericanus
PCNX3	1	2.22	10	Pteropus_medius, Saccopteryx_bilineata, Sarcophilus_harrisii, Rhynchonycteris_naso, Myotis_myotis, Galemys_pyrenaicus, Phyllostomus_hastatus, Mustela_putorius, Neotoma_lepida, Pteronotus_mesoamericanus
MFAP1	1	2.22	12	Aquila_chrysaetos_chrysaetos, Melopsittacus_undulatus, Centropus_unirufus, Chunga_burmeisteri, Cervus_elaphus_hippelaphus, Pedionomus_torquatus, Climacteris_rufus, Calonectris_borealis, Halcyon_senegalensis, Spizaetus_tyrannus, Stercorarius_parasiticus, Spheniscus_demersus
BRMS1	1	1.83	6	Mustela_lutreola, Marmota_flaviventris, Bos_taurus, Cervus_elaphus_hippelaphus, Dicerorhinus_sumatrensis_harrissoni, Balaenoptera_physalus
SYN1	1	1.83	6	Mus_pahari, Lepus_europaeus, Ochotona_princeps, Sorex_araneus, Alexandromys_oeconomus, Alexandromys_fortis
HAND2	1	1.83	6	Protobothrops_mucrosquamatus, Phrynosoma_platyrhinos, Phrynocephalus_forsythii, Anolis_carolinensis, Sceloporus_undulatus, Alligator_mississippiensis
LUC7L3	1	1.83	6	Coturnix_japonica, Synaphobranchus_kaupii, Castor_canadensis, Alosa_sapidissima, Lerista_edwardsae, Aldrovandia_affinis
TUBE1	1	1.83	6	Ficedula_albicollis, Aptenodytes_forsteri, Macaca_nemestrina, Nibea_albiflora, Jacana_jacana, Anabarilius_grahami
GABRP	1	1.83	6	Lamprotornis_superbus, Panthera_pardus, Oenanthe_melanoleuca, Poecile_atricapillus, Parus_major, Sapajus_apella
ANKRA2	1	1.74	9	Gavialis_gangeticus, Alligator_sinensis, Lophiomys_imhausi, Oncorhynchus_tshawytscha, Chionomys_nivalis, Crocodylus_porosus, Reinhardtius_hippoglossoides, Turnix_velox, Oncorhynchus_mykiss
YBX2	1	1.74	9	Pongo_pygmaeus, Rhabdomys_pumilio, Caracal_caracal, Lynx_rufus, Sciurus_carolinensis, Tokudaia_osimensis, Pan_troglodytes, Rhynchomys_soricoides, Cryptoprocta_ferox
VCPKMT	1	1.74	9	Rupicapra_rupicapra, Colinus_virginianus, Apteryx_mantelli_mantelli, Litocranius_walleri, Gambusia_affinis, Motacilla_alba_alba, Pantholops_hodgsonii, Budorcas_taxicolor, Scyliorhinus_canicula
RTF1	1	1.74	9	Chrysemys_picta_bellii, Carassius_auratus, Cyprinus_carpio_carpio, Sinocyclocheilus_grahami, Carassius_carassius, Chinchilla_lanigera, Carassius_gibelio, Collichthys_lucidus, Loris_tardigradus
RNASEK-C17orf49	1	1.74	9	Salvelinus_namaycush, Canis_lupus_familiaris, Oncorhynchus_keta, Coilia_nasus, Girardinichthys_multiradiatus, Nothobranchius_furzeri, Nothobranchius_kuhntae, Bubalus_bubalis, Archocentrus_centrarchus
RGL2	1	1.71	7	Macaca_fascicularis, Marmota_monax, Nomascus_leucogenys, Rattus_norvegicus, Sciurus_carolinensis, Rousettus_aegyptiacus, Rhizomys_pruinosus
FBXO17	1	1.34	8	Neophocaena_asiaeorientalis_asiaeorientalis, Delphinus_delphis, Hipposideros_armiger, Myodes_glareolus, Stenella_coeruleoalba, Tursiops_truncatus, Elephas_maximus_indicus, Pipistrellus_kuhlii
NRK	1	1.22	6	Mus_spretus, Acomys_cahirinus, Mus_minutoides, Mus_musculus_musculus, Mus_pahari, Mus_musculus_molossinus
TSPYL2	2	1.22	6	Stenella_coeruleoalba, Canis_lupus, Cervus_elaphus_hippelaphus, Ctenodactylus_gundi, Macaca_thibetana_thibetana, Aselliscus_stoliczkanus
PLEKHG2	1	1.22	6	Panthera_pardus, Marmota_flaviventris, Macaca_nemestrina, Panthera_leo, Neotoma_lepida, Galemys_pyrenaicus
FAXC	1	1.22	6	Hipposideros_armiger, Felis_catus, Panthera_uncia, Glossophaga_mutica, Tetraodon_nigroviridis, Lynx_rufus
